# este archivo son los resultado de los trials del modelo B de optuna 

number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_scale_pos_weight,params_subsample,state
114,0.5526793395967582,2026-07-23 20:39:03.229130,2026-07-23 20:39:04.265100,0 days 00:00:01.035970,0.796530661406611,0.040552600289676353,6,201,3.3086409735168907,0.6991554723417536,COMPLETE
115,0.5530912375518454,2026-07-23 20:39:04.265891,2026-07-23 20:39:05.156827,0 days 00:00:00.890936,0.8350500824080996,0.045869629618102474,6,218,3.09273367917885,0.6858450840857,COMPLETE
116,0.5494988180570547,2026-07-23 20:39:05.157536,2026-07-23 20:39:06.115038,0 days 00:00:00.957502,0.8367927928331579,0.04452613755738229,6,256,2.8256050850125667,0.9931901515715567,COMPLETE
117,0.5469896356523831,2026-07-23 20:39:06.115812,2026-07-23 20:39:07.308491,0 days 00:00:01.192679,0.8070599295127605,0.03212234024265462,7,215,3.024410798847979,0.6841947553136174,COMPLETE
118,0.5507684380158945,2026-07-23 20:39:07.309465,2026-07-23 20:39:08.178396,0 days 00:00:00.868931,0.930330626968602,0.04669961686764612,6,245,3.3935617644790526,0.6684221608864246,COMPLETE
119,0.5537160461875861,2026-07-23 20:39:08.179359,2026-07-23 20:39:09.690309,0 days 00:00:01.510950,0.8246802463451807,0.018507509667922018,6,227,3.1848517195885737,0.6500217745987564,COMPLETE
120,0.5474900826108443,2026-07-23 20:39:09.691396,2026-07-23 20:39:11.103704,0 days 00:00:01.412308,0.8225131446650263,0.015594613782733411,6,454,2.9798516665096724,0.6503258414756636,COMPLETE
121,0.5537925428080069,2026-07-23 20:39:11.104894,2026-07-23 20:39:12.573022,0 days 00:00:01.468128,0.8258837103443322,0.019800496862422374,6,223,3.187638769101309,0.6744831600181321,COMPLETE
122,0.5527286244968009,2026-07-23 20:39:12.573836,2026-07-23 20:39:14.138028,0 days 00:00:01.564192,0.8309087012189276,0.01776261470267931,6,289,2.8986201957831805,0.6915073417539679,COMPLETE
123,0.5528649466750443,2026-07-23 20:39:14.138903,2026-07-23 20:39:15.396359,0 days 00:00:01.257456,0.7890815607662862,0.022519695951935165,6,227,3.095148738441917,0.6780082574925966,COMPLETE
124,0.551810701898489,2026-07-23 20:39:15.397086,2026-07-23 20:39:16.380014,0 days 00:00:00.982928,0.842594408408757,0.0190166541521803,5,487,3.2666954102755774,0.7064322559265448,COMPLETE
125,0.5415363012439953,2026-07-23 20:39:16.380807,2026-07-23 20:39:17.843164,0 days 00:00:01.462357,0.8254918573677534,0.01791337044789407,6,221,4.557463108218734,0.6861405255900279,COMPLETE
