# comentario unicamente para diferenciar los archivos: trials B de optuna

number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_scale_pos_weight,params_subsample,state
394,0.5463231061319737,2026-07-24 16:56:04.445716,2026-07-24 16:56:05.951654,0 days 00:00:01.505938,0.803699163314037,0.014486647028115337,7,336,3.1073109361354585,0.6283008543669734,COMPLETE
395,0.5478527047455946,2026-07-24 16:56:05.952592,2026-07-24 16:56:07.438383,0 days 00:00:01.485791,0.8118882397417639,0.01567838439214016,7,349,3.0314604747670133,0.6016674372054589,COMPLETE
396,0.5501272951304323,2026-07-24 16:56:07.439255,2026-07-24 16:56:08.943502,0 days 00:00:01.504247,0.7994069891246368,0.016071053479891434,7,202,3.1629375509918147,0.6366575324528184,COMPLETE
397,0.5527973062628593,2026-07-24 16:56:08.944217,2026-07-24 16:56:11.072155,0 days 00:00:02.127938,0.649383600015836,0.013965691471391891,7,328,3.1726577422749624,0.6137862007284649,COMPLETE
398,0.5519204050591383,2026-07-24 16:56:11.073482,2026-07-24 16:56:12.995008,0 days 00:00:01.921526,0.8182781346317919,0.013316827985745395,7,343,3.092278582621881,0.6590187392603606,COMPLETE
399,0.553887748329645,2026-07-24 16:56:12.995965,2026-07-24 16:56:14.951189,0 days 00:00:01.955224,0.8459124768288099,0.014806373526219602,7,321,3.2123712695315363,0.6502761088365959,COMPLETE
400,0.5512027804035619,2026-07-24 16:56:14.951984,2026-07-24 16:56:16.847151,0 days 00:00:01.895167,0.7973064360747395,0.01933226779251346,7,352,3.3788290508124414,0.6236318207801568,COMPLETE
401,0.5548233568390578,2026-07-24 16:56:16.848181,2026-07-24 16:56:18.823100,0 days 00:00:01.974919,0.8320465711761177,0.016429808186941085,7,232,3.1337141783484506,0.6385072071426191,COMPLETE
402,0.5484877806108955,2026-07-24 16:56:18.824386,2026-07-24 16:56:20.940179,0 days 00:00:02.115793,0.8405319556405366,0.015671093558763838,7,240,3.0437112405819913,0.6443868280234919,COMPLETE
403,0.5535817552220168,2026-07-24 16:56:20.941009,2026-07-24 16:56:23.018975,0 days 00:00:02.077966,0.8290544750606401,0.016516547664771525,7,218,3.125448528641965,0.6674683041199942,COMPLETE
404,0.5468988517182395,2026-07-24 16:56:23.019921,2026-07-24 16:56:25.024958,0 days 00:00:02.005037,0.8386363168464245,0.014875630472377417,7,312,2.997922910709451,0.6565071461813218,COMPLETE
405,0.5504718361331548,2026-07-24 16:56:25.026224,2026-07-24 16:56:26.873190,0 days 00:00:01.846966,0.824863057993105,0.016579660679063298,7,368,3.088102092098728,0.6323944341732581,COMPLETE
406,0.5525560483560542,2026-07-24 16:56:26.873968,2026-07-24 16:56:28.707747,0 days 00:00:01.833779,0.849922349781399,0.015422062360726572,7,208,3.1517608502389756,0.6450824588160858,COMPLETE
407,0.5339286090867006,2026-07-24 16:56:28.708702,2026-07-24 16:56:30.340829,0 days 00:00:01.632127,0.6363971965648068,0.011826526979117628,7,362,2.9483464766778322,0.6195423534961534,COMPLETE
408,0.5432903585758994,2026-07-24 16:56:30.341540,2026-07-24 16:56:31.031639,0 days 00:00:00.690099,0.8311492456159962,0.14842995290137695,7,226,3.18383841014735,0.6620545156127411,COMPLETE
409,0.554571888715797,2026-07-24 16:56:31.032321,2026-07-24 16:56:32.648122,0 days 00:00:01.615801,0.8189066998462333,0.01705728829768809,7,234,3.0799423260841965,0.6374948134796055,COMPLETE
410,0.5506651464526249,2026-07-24 16:56:32.648976,2026-07-24 16:56:34.350984,0 days 00:00:01.702008,0.8336170570784179,0.01747431647309394,7,239,3.0484703850378354,0.63598254147443,COMPLETE
411,0.5529641709482392,2026-07-24 16:56:34.351961,2026-07-24 16:56:36.170390,0 days 00:00:01.818429,0.8193771439793129,0.018583625241319048,7,233,3.2164580207216664,0.6239925752186382,COMPLETE
412,0.5537747116223396,2026-07-24 16:56:36.171354,2026-07-24 16:56:37.695109,0 days 00:00:01.523755,0.8154976333866057,0.017031675753471007,7,384,3.3161621128428598,0.6397953995397934,COMPLETE
413,0.5531394721994883,2026-07-24 16:56:37.695838,2026-07-24 16:56:39.168025,0 days 00:00:01.472187,0.8253951802113656,0.021995519765412915,7,245,3.114521407156799,0.6291105975238965,COMPLETE
414,0.5539938316586861,2026-07-24 16:56:39.168748,2026-07-24 16:56:41.150620,0 days 00:00:01.981872,0.8118902231191966,0.015971487294013886,7,217,3.241494723705967,0.647498595256344,COMPLETE
415,0.5485410752043799,2026-07-24 16:56:41.151430,2026-07-24 16:56:42.942365,0 days 00:00:01.790935,0.7366076821898543,0.013387863805853417,7,228,3.0133133162424945,0.6389008952999298,COMPLETE
416,0.5493586562327966,2026-07-24 16:56:42.943587,2026-07-24 16:56:44.815092,0 days 00:00:01.871505,0.8334547258951802,0.019377776960914906,7,253,3.1533401895863133,0.8779788758304793,COMPLETE
